1844	1	10|
728	1	9|
1085	1	9|
1386	1	9|
1795	1	9|
2282	1	9|
307	1	8|
528	1	8|
863	1	8|
947	1	8|
1209	1	8|
1326	1	8|
1360	1	8|
1789	1	8|
1896	1	8|
1984	1	8|
2358	1	8|
2510	1	8|
2601	1	8|
5978	1	8|
42	1	7|
85	1	7|
105	1	7|
184	1	7|
446	1	7|
522	1	7|
1006	1	7|
1089	1	7|
1227	1	7|
1300	1	7|
1406	1	7|
1460	1	7|
2518	1	7|
2596	1	7|
3368	1	7|
4519	1	7|
4623	1	7|
4952	1	7|
5029	1	7|
44	1	6|
247	1	6|
292	1	6|
488	1	6|
609	1	6|
916	1	6|
1036	1	6|
1179	1	6|
1256	1	6|
1276	1	6|
1343	1	6|
1394	1	6|
1736	1	6|
1935	1	6|
2061	1	6|
2290	1	6|
2350	1	6|
2656	1	6|
4088	1	6|
121	1	5|
377	1	5|
570	1	5|
1225	1	5|
1251	1	5|
1257	1	5|
1288	1	5|
1353	1	5|
1395	1	5|
1526	1	5|
1540	1	5|
1786	1	5|
1991	1	5|
2099	1	5|
2340	1	5|
2494	1	5|
3793	1	5|
5347	1	5|
26	1	4|
239	1	4|
366	1	4|
795	1	4|
868	1	4|
912	1	4|
1282	1	4|
1389	1	4|
1607	1	4|
2045	1	4|
2167	1	4|
2420	1	4|
2425	1	4|
2589	1	4|
3061	1	4|
3220	1	4|
3615	1	4|
4198	1	4|
6375	1	4|
132	1	3|
397	1	3|
659	1	3|
1190	1	3|
2123	1	3|
2449	1	3|
3426	1	3|
3743	1	3|
4146	1	3|
5191	1	3|
1775	1	2|
1798	1	2|
2136	1	2|
3206	1	2|
478	2	13|
906	6	10|
478	6	9|
317	6	8|
4618	6	8|
1288	6	7|
2167	6	7|
5019	6	7|
480	6	6|
2299	6	6|
522	6	5|
2510	6	5|
6854	6	4|
1089	9	12|
523	9	11|
1734	9	9|
317	9	8|
2167	9	8|
2510	9	7|
44	9	5|
1427	10	9|
2167	10	9|
523	10	7|
609	10	6|
2136	10	6|
1703	11	8|
478	11	6|
2522	11	4|
523	11	2|
15349	12	14|
7434	12	14|
8006	12	14|
