15	1605	3	111951426				X320	4	660|
15	1605	3	111951427				20178	0	94|
15	1605	4	111951428				X497	0	252|
15	1605	4	111951429				X162	7	2254|
15	1605	4	111951430				X322	3	1480|
15	1605	4	111951431				20277	5	278|
15	1605	5	111951432				X496	12	2128|
15	1605	5	111951433				10162	3	1746|
15	1605	6	111951434				X320	4	660|
15	1605	6	111951435				20178	0	94|
15	1606	1	111951436				X496	41	7420|
15	1606	1	111951437				20246	0	114|
15	1606	1	111951438				30207	2	60|
15	1606	2	111951439				X320	222	41808|
15	1606	2	111951440				20178	133	39052|
15	1606	2	111951441				30245	4	88|
15	1607	1	111951442				X503	0	16|
15	1607	2	111951443				X497	10	5258|
15	1607	2	111951444				X162	29	9136|
15	1600	1	111951445				X162	4	1152|
15	1600	4	111951446				X162	1	288|
15	1600	6	111951447				X576	0	40|
15	1600	7	111951448				X162	1	288|
15	1600	9	111951449				X576	0	40|
15	1600	12	111951450				X576	0	40|
15	1600	15	111951451				X576	0	40|
15	1600	16	111951452				X512	53	4996|
15	1601	1	111951453				X011	0	144|
15	1601	1	111951454				10162	7	4744|
15	1601	2	111951455				X216	4	1840|
15	1601	2	111951456				X503	7	492|
15	1601	2	111951457				30238	5	98|
15	1601	2	111951458				40411	1	16|
15	1601	3	111951459				X162	2	720|
15	1601	3	111951460				X023	0	34|
15	1601	3	111951461				10124	1	1088|
15	1601	3	111951462				30221	3	72|
15	1601	4	111951463				X011	0	96|
15	1601	4	111951464				10162	5	3174|
15	1601	5	111951465				X503	7	492|
15	1601	5	111951466				X576	19	4962|
15	1601	5	111951467				30207	6	188|
15	1601	6	111951468				X162	2	720|
15	1601	6	111951469				X023	0	34|
15	1601	6	111951470				30221	3	72|
15	1601	7	111951471				X497	3	1320|
15	1601	7	111951472				X011	0	96|
15	1601	7	111951473				10162	5	3174|
15	1602	1	111951474				17043	0	204|
15	1602	1	111951475				X216	2	1104|
15	1602	1	111951476				X503	3	242|
15	1602	2	111951477				X162	0	64|
15	1602	2	111951478				X457	1	1680|
15	1602	2	111951479				10124	5	7496|
15	1602	3	111951480				2216	1	1150|
15	1602	3	111951481				10162	23	15026|
15	1602	3	111951482				20246	0	58|
15	1602	4	111951483				17043	0	204|
15	1602	4	111951484				X503	3	244|
15	1602	4	111951485				X576	16	4300|
15	1602	4	111951486				30207	2	72|
15	1602	5	111951487				X162	0	64|
15	1602	5	111951488				X457	1	1680|
15	1603	1	111951489				X162	1	448|
15	1603	3	111951490				X576	5	1418|
15	1603	4	111951491				X162	1	448|
15	1604	1	111951492				10162	8	4878|
15	1604	2	111951493				X503	29	2220|
15	1604	2	111951494				X576	77	20128|
15	1604	2	111951495				30207	16	480|
15	1604	3	111951496				20277	9	516|
15	1604	3	111951497				30221	8	176|
15	1604	3	111951498				40435	8	160|
15	1605	1	111951499				X576	29	7650|
15	1605	1	111951500				30207	4	126|
15	1605	2	111951501				X162	7	2254|
15	1605	2	111951502				20277	5	278|
15	1605	3	111951503				X497	0	252|
15	1605	3	111951504				X011	0	116|
15	1605	3	111951505				10162	3	1746|
