35	12020	14048	0|
29	2042	0	0|
29	8	0	0|
29	9	0	0|
29	13	0	0|
29	14	0	0|
29	1030	0	0|
29	1050	0	0|
29	1066	0	0|
29	1071	0	0|
29	1095	0	0|
29	1110	0	0|
35	12060	0	0|
35	12080	0	0|
35	16000	38768	0|
35	16010	8963	0|
35	16020	7493	0|
35	16030	8363	0|
35	16050	11768	0|
35	16080	0	0|
35	16090	5018	0|
35	16100	15263	0|
35	14010	0	0|
35	14020	0	0|
35	14030	34673	0|
35	14040	0	0|
35	14050	0	0|
35	14060	0	0|
35	14070	0	0|
35	14080	0	0|
30	10240	26	0|
30	10391	37	0|
30	57659	27	0|
30	80174	103	0|
30	1326	35	0|
30	1327	100	0|
30	1328	109	0|
30	1329	41	0|
30	1330	34	0|
30	1331	41	0|
30	1332	34	0|
30	1333	126	0|
30	10170	39	0|
30	10343	40	0|
30	57660	21	0|
30	57671	21	0|
30	80153	107	0|
30	80155	84	0|
30	80156	75	0|
30	80157	176	0|
30	80158	82	0|
30	80159	67	0|
30	6130	66	0|
30	16010	24	0|
30	53750	134	0|
30	57037	50	0|
30	57669	21	0|
30	70165	260	0|
30	80082	138	0|
30	80713	107	0|
30	90144	193	0|
30	15051	25	0|
30	57668	25	0|
30	14011	50	0|
30	14020	40	0|
30	14030	80	0|
30	14081	18	0|
30	1309	146	0|
35	14090	11558	0|
35	4010	0	0|
35	4020	0	0|
35	4030	0	0|
35	4040	0	0|
35	4070	12923	0|
35	4080	0	0|
35	4095	0	0|
35	4101	0	0|
35	4110	0	0|
35	4140	0	0|
35	4155	0	0|
3	4062	0	0|
3	1	0	0|
3	2	0	0|
3	3	0	0|
3	4	0	0|
3	5	0	0|
3	6	0	0|
3	8	0	0|
3	9	0	0|
3	10	0	0|
3	11	0	0|
3	12	0	0|
3	13	0	0|
3	14	0	0|
3	16	0	0|
3	17	0	0|
3	20	0	0|
3	100	0	0|
3	101	0	0|
3	102	0	0|
3	103	0	0|
3	104	0	0|
3	105	0	0|
3	106	0	0|
3	107	0	0|
3	108	0	0|
3	109	0	0|
3	110	0	0|
3	111	0	0|
3	112	0	0|
3	113	0	0|
3	114	0	0|
3	115	0	0|
3	116	0	0|
3	117	0	0|
3	150	0	0|
3	200	0	0|
3	201	0	0|
3	202	0	0|
3	203	0	0|
3	204	0	0|
3	205	0	0|
3	206	0	0|
3	207	0	0|
3	208	0	0|
3	209	0	0|
3	210	0	0|
3	211	0	0|
35	4165	0	0|
35	4170	0	0|
35	4180	0	0|
35	4190	9998	0|
35	4200	10598	0|
35	4210	6893	0|
35	4240	16283	0|
35	4260	17558	0|
35	4350	0	0|
35	1050	0	0|
35	1095	0	0|
35	1130	0	0|
35	1170	0	0|
35	9140	0	0|
35	9250	0	0|
35	11066	67031	0|
35	11081	0	0|
35	11092	0	0|
35	11100	0	0|
35	11110	0	0|
35	11176	0	0|
35	11210	7643	0|
35	11220	0	0|
35	11230	0	0|
35	11250	0	0|
35	11290	0	0|
35	11310	0	0|
35	11330	0	0|
35	2010	8213	0|
35	2020	0	0|
35	2075	0	0|
35	2080	9008	0|
35	2135	16778	0|
35	2140	0	0|
35	2151	0	0|
35	2201	0	0|
35	2205	0	0|
35	2210	0	0|
35	2250	11318	0|
35	2260	0	0|
35	2270	16958	0|
35	2350	0	0|
35	2360	0	0|
35	2370	0	0|
35	2380	0	0|
35	2390	0	0|
35	2400	0	0|
35	2410	82808	0|
35	3010	8558	0|
35	3020	0	0|
35	3030	7418	0|
35	3050	10208	0|
35	3085	0	0|
35	3090	0	0|
35	3110	22553	0|
35	3120	0	0|
35	3130	0	0|
35	3150	0	0|
35	3160	0	0|
35	3185	0	0|
35	3240	0	0|
35	3256	9143	0|
35	3260	0	0|
35	3280	0	0|
35	3291	9473	0|
35	3302	0	0|
35	3310	6503	0|
35	3342	11408	0|
35	3361	9863	0|
35	3362	11273	0|
35	3372	0	0|
35	3381	15668	0|
35	3390	16628	0|
35	3410	12505	0|
35	3500	0	0|
35	3541	12473	0|
35	3640	0	0|
35	3700	0	0|
35	5030	0	0|
35	6010	10538	0|
35	6020	16628	0|
35	6030	10298	0|
35	6060	7673	0|
35	6070	8693	0|
35	6080	17363	0|
35	6090	0	0|
35	6100	8093	0|
35	6110	31613	0|
3	212	0	0|
3	213	0	0|
3	214	0	0|
3	215	0	0|
3	216	0	0|
3	217	0	0|
3	218	0	0|
3	219	0	0|
